Postal Code,Project Name,Planning Region,Planning Area,Market segment,Property Type,Postal District,Tenure Group,Latitude,Longitude,MRT Distance (km),School Distance (km),Top School Distance (km),Top School 1km,Top School 2km
597001,PINE GROVE,Central Region,Bukit Timah,RCR,Condominium,21,99-yr,1.318217242861295,103.7757761832554,0.8212,0.283,0.283,1.0,1.0
596490,KISMIS COURT,Central Region,Bukit Timah,RCR,Condominium,21,99-yr,1.338031819299108,103.7706270772649,0.6847,2.2231,2.2231,0.0,0.0
545018,KOVAN MELODY,North East Region,Hougang,OCR,Condominium,19,99-yr,1.3593971131117,103.8827433697512,0.3333,0.5178,1.4128,0.0,1.0
649821,LAKEHOLMZ,West Region,Jurong West,OCR,Condominium,22,99-yr,1.342164104364105,103.7170866907556,0.4986,0.446,0.446,1.0,1.0
546776,FONTAINE PARRY,North East Region,Hougang,OCR,Condominium,19,999-yr,1.366782344854568,103.880125251863,0.9697,0.7318,1.1591,0.0,1.0
529900,MY MANHATTAN,East Region,Tampines,OCR,Condominium,18,99-yr,1.341409729527262,103.9535494007613,0.2001,1.6344,1.6344,0.0,1.0
228022,HOCK MANSION,Central Region,Rochor,CCR,Apartment,9,Freehold,1.302444824595145,103.8485542958617,0.4395,2.3839,2.3839,0.0,0.0
229618,HIJAUAN,Central Region,Newton,CCR,Apartment,9,Freehold,1.303600720084408,103.841116863266,0.4345,1.7988,1.7988,0.0,1.0
425600,SUNSHINE LOFT,East Region,Bedok,OCR,Apartment,15,Freehold,1.310998319062993,103.9080468908447,1.1137,0.6019,0.6318,1.0,1.0
689859,MI CASA,West Region,Choa Chu Kang,OCR,Condominium,23,99-yr,1.384462876856572,103.7481113091028,0.4277,0.4719,5.9903,0.0,0.0
278801,PARKSUITES,Central Region,Bukit Timah,CCR,Apartment,10,Other,1.316893870955398,103.7829526966845,0.7757,0.9707,0.9707,1.0,1.0
258867,HOLLAND MEWS,Central Region,Tanglin,CCR,Apartment,10,Freehold,1.309330840345246,103.8062359004127,0.8982,0.9008,0.9008,1.0,1.0
127715,THE INFINITI,West Region,Clementi,OCR,Condominium,5,Freehold,1.319017673072813,103.7553887076215,1.1683,1.0881,1.4741,0.0,1.0
419839,SING LIAN BUILDING,East Region,Bedok,OCR,Apartment,14,Freehold,1.318351451318371,103.9109786717652,0.3707,0.5175,1.4685,0.0,1.0
534078,THE MINTON,North East Region,Hougang,OCR,Condominium,19,99-yr,1.352197883083444,103.8816353976043,0.9518,0.7554,1.3469,0.0,1.0
479253,WATERFRONT KEY,East Region,Bedok,OCR,Condominium,16,99-yr,1.337188588876079,103.9311696480934,0.1308,0.6884,0.6884,1.0,1.0
289674,DUNEARN LODGE,Central Region,Bukit Timah,CCR,Apartment,11,99-yr,1.324963378217469,103.8103171156768,0.2917,0.6958,0.6958,1.0,1.0
258617,SIGNATURE AT LEWIS,Central Region,Tanglin,CCR,Apartment,10,Freehold,1.320843793859047,103.8232062165676,0.3453,1.0093,1.0093,0.0,1.0
308349,IRIDIUM,Central Region,Novena,CCR,Apartment,11,Freehold,1.315138127496779,103.8426402032349,0.5627,1.0287,1.0287,0.0,1.0
509409,LIGHTHOUSE,East Region,Pasir Ris,OCR,Condominium,17,99-yr,1.378468437404248,103.958952633903,1.2331,0.4993,3.3277,0.0,0.0
269406,CORONATION ARCADE,Central Region,Bukit Timah,CCR,Apartment,10,Freehold,1.323298290766047,103.8105275741431,0.3859,0.757,0.757,1.0,1.0
289732,WATTEN HOUSE,Central Region,Bukit Timah,CCR,Condominium,11,Freehold,1.32924471287252,103.8109416570692,0.5628,0.8696,0.8696,1.0,1.0
449290,LAGUNA PARK,East Region,Bedok,OCR,Apartment,15,99-yr,1.310040987313578,103.9319883030234,1.5659,0.9581,2.6453,0.0,0.0
427677,N.A.,Central Region,Marine Parade,RCR,Apartment,15,Freehold,1.30671859870063,103.9046648511069,1.4611,0.1181,0.4695,1.0,1.0
567741,GRANDEUR 8,North East Region,Ang Mo Kio,OCR,Condominium,20,99-yr,1.375444426702402,103.8468176734129,0.6848,0.5286,0.7032,1.0,1.0
266331,CASABELLA,Central Region,Bukit Timah,CCR,Condominium,10,Freehold,1.323759473536829,103.7993217351335,0.802,0.5629,0.5629,1.0,1.0
118618,PARC IMPERIAL,Central Region,Queenstown,RCR,Condominium,5,Freehold,1.281350126859029,103.7836422441922,0.2284,2.3365,2.7617,0.0,0.0
159023,THE CREST,Central Region,Bukit Merah,RCR,Condominium,3,99-yr,1.293117405825216,103.8205055324721,0.5706,0.8411,0.8411,1.0,1.0
427324,THE MINT RESIDENCES,Central Region,Geylang,RCR,Apartment,15,Freehold,1.314974530243167,103.9049583772671,0.5678,0.2523,1.1466,0.0,1.0
799036,SELETAR SPRINGS CONDOMINIUM,North East Region,Hougang,OCR,Condominium,28,99-yr,1.387581220744192,103.8784834551759,1.6862,0.3309,0.9177,1.0,1.0
598751,PARC PALAIS,West Region,Bukit Batok,OCR,Condominium,21,Freehold,1.356245072658095,103.7646913012891,0.7513,2.2151,4.2595,0.0,0.0
307686,AMANINDA,Central Region,Novena,CCR,Condominium,11,Freehold,1.324613449870925,103.841103352994,0.5543,0.8856,0.8856,1.0,1.0
737788,PARC ROSEWOOD,North Region,Woodlands,OCR,Condominium,25,99-yr,1.428353548434975,103.785587282584,0.8967,1.2164,9.6507,0.0,0.0
678187,THE LINEAR,West Region,Bukit Panjang,OCR,Apartment,23,999-yr,1.375394616535323,103.7628464229605,0.3133,0.3667,6.3105,0.0,0.0
535131,FORTUNE PARK,North East Region,Hougang,OCR,Condominium,19,Freehold,1.361698917041054,103.8908401060919,0.6033,0.5263,0.5263,1.0,1.0
099206,THE PEARL @ MOUNT FABER,Central Region,Bukit Merah,RCR,Condominium,4,99-yr,1.270892731518416,103.8241443563629,0.3357,0.7505,2.4636,0.0,0.0
259920,SUI GENERIS,Central Region,Newton,CCR,Condominium,10,Freehold,1.31629068148044,103.8343668251252,0.4512,0.2046,0.2046,1.0,1.0
426341,AQUENE,East Region,Bedok,OCR,Apartment,15,Freehold,1.314429521295677,103.9091131286856,0.8498,0.3307,1.0109,0.0,1.0
509028,WATERCREST,East Region,Pasir Ris,OCR,Condominium,17,999-yr,1.377761632391633,103.9573818281104,1.0425,0.5722,3.1742,0.0,0.0
419803,TEDGE,East Region,Bedok,OCR,Apartment,14,Freehold,1.318067267758906,103.908811491066,0.5665,0.2977,1.4142,0.0,1.0
398416,ATRIUM RESIDENCES,Central Region,Geylang,RCR,Apartment,14,Freehold,1.313116249248921,103.8861367678606,0.5142,0.7498,0.7498,1.0,1.0
588135,BUKIT REGENCY,Central Region,Bukit Timah,RCR,Condominium,21,Freehold,1.346408058887685,103.7708772320103,0.7768,2.4308,3.1533,0.0,0.0
398089,THE WATERINA,Central Region,Geylang,RCR,Apartment,14,Freehold,1.312349919884666,103.890291176603,0.4989,0.7509,1.0451,0.0,1.0
358844,LEICESTER SUITES,Central Region,Toa Payoh,RCR,Apartment,13,Freehold,1.330404582545127,103.8670932163818,0.2754,1.025,1.3509,0.0,1.0
228152,SOPHIA LODGE,Central Region,Rochor,CCR,Apartment,9,Freehold,1.301672686086656,103.8480361719524,0.3932,2.4091,2.4091,0.0,0.0
118996,TERRA HILL,Central Region,Queenstown,RCR,Apartment,5,Freehold,1.279061067512994,103.7932876655266,0.3863,1.8988,1.8988,0.0,1.0
466110,KEW GREEN,East Region,Bedok,OCR,Condominium,16,99-yr,1.318413505313181,103.9496898959127,1.0441,0.8708,3.2662,0.0,0.0
388502,TREASURES@G19,Central Region,Geylang,RCR,Apartment,14,Freehold,1.313928158371611,103.87898672052,0.5173,0.1252,0.8664,1.0,1.0
466174,KEW GREEN,East Region,Bedok,OCR,Condominium,16,99-yr,1.319079490512327,103.9512546606147,1.0539,0.9082,3.3721,0.0,0.0
528786,SAVANNAH CONDOPARK,East Region,Tampines,OCR,Condominium,18,99-yr,1.348783036322475,103.962781903361,0.795,1.8323,2.133,0.0,0.0
479273,ARCHIPELAGO,East Region,Bedok,OCR,Condominium,16,99-yr,1.338654581063947,103.918969745546,0.5333,0.8256,0.8256,1.0,1.0
238120,ST THOMAS COURT,Central Region,River Valley,CCR,Apartment,9,Freehold,1.297508804699025,103.8362688496105,0.4381,1.0577,1.0577,0.0,1.0
428096,LEGENDA AT JOO CHIAT,Central Region,Geylang,RCR,Condominium,15,99-yr,1.312770765288133,103.9014677013914,0.8036,0.3777,1.149,0.0,1.0
387903,BLOSSOM MANSIONS,Central Region,Geylang,RCR,Apartment,14,Freehold,1.315439514060733,103.8893670456491,0.5067,0.5618,0.7279,1.0,1.0
258853,BOTANIKA,Central Region,Tanglin,CCR,Apartment,10,Freehold,1.309843134803629,103.8081369654616,0.8351,0.9888,0.9888,1.0,1.0
427982,EASTCOVE RESIDENCES,East Region,Bedok,OCR,Apartment,15,Freehold,1.314439854257815,103.9088494492173,0.8619,0.3077,1.011,0.0,1.0
398305,SUNFLOWER RESIDENCE,Central Region,Geylang,RCR,Apartment,14,Freehold,1.312413265183632,103.887148121308,0.4768,0.8598,0.8598,1.0,1.0
488067,TROPICANA CONDOMINIUM,East Region,Tampines,OCR,Condominium,16,999-yr,1.34164555266097,103.9608404386985,0.0575,2.191,2.2338,0.0,0.0
457268,PARK EAST,East Region,Bedok,OCR,Condominium,15,Freehold,1.318379925399683,103.9246070879172,0.8628,0.5049,1.8435,0.0,1.0
519934,RIS GRANDEUR,East Region,Pasir Ris,OCR,Condominium,18,Freehold,1.37457279689399,103.9399897765893,1.0467,0.8389,2.4874,0.0,0.0
534028,RIVERSAILS,North East Region,Hougang,OCR,Condominium,19,99-yr,1.379300107812594,103.9026050361806,1.1495,0.7182,0.7182,1.0,1.0
266215,LEEDON RESIDENCE,Central Region,Bukit Timah,CCR,Condominium,10,Freehold,1.312891203242126,103.8013251855664,0.5757,0.3487,0.3487,1.0,1.0
596117,FORETT@BUKIT TIMAH,Central Region,Bukit Timah,RCR,Apartment,21,Freehold,1.340137318236742,103.7687870315136,0.7893,2.1873,2.4461,0.0,0.0
529387,PARKTOWN RESIDENCE,East Region,Tampines,OCR,Apartment,18,99-yr,1.366848422810875,103.9377763572148,1.4523,0.7314,1.7316,0.0,1.0
209078,N.A.,Central Region,Kallang,RCR,Apartment,8,999-yr,1.310711113073133,103.8607699512372,0.432,1.1216,2.7987,0.0,0.0
109702,THE INTERLACE,Central Region,Bukit Merah,RCR,Condominium,4,99-yr,1.282217696487238,103.8036620425568,1.1093,0.8337,0.8337,1.0,1.0
536558,BARTLEY RESIDENCES,North East Region,Serangoon,OCR,Apartment,19,99-yr,1.343408864027569,103.8810335042809,0.1479,0.9325,1.0398,0.0,1.0
457912,THE HACIENDA,East Region,Bedok,OCR,Condominium,15,Freehold,1.314536366891159,103.9270493461878,1.0995,0.8919,2.2762,0.0,0.0
465409,THE GLADES,East Region,Bedok,OCR,Condominium,16,99-yr,1.327304256079279,103.9492280750069,0.3202,0.4262,2.7816,0.0,0.0
768138,EIGHT COURTYARDS,North Region,Yishun,OCR,Condominium,27,99-yr,1.437956451544374,103.8309953685214,0.5728,0.6504,7.7052,0.0,0.0
535689,THE SUNSHINE,North East Region,Serangoon,OCR,Apartment,19,Freehold,1.3462198480104,103.8719510117612,0.4229,0.2064,0.516,1.0,1.0
266216,LEEDON RESIDENCE,Central Region,Bukit Timah,CCR,Condominium,10,Freehold,1.313051482305772,103.8016632740279,0.6158,0.329,0.329,1.0,1.0
427522,N.A.,Central Region,Geylang,RCR,Apartment,15,Freehold,1.310920470168167,103.9010199773624,1.0153,0.1739,1.0512,0.0,1.0
287170,WATTEN HILL,Central Region,Bukit Timah,CCR,Condominium,11,Freehold,1.330785036091425,103.809319385219,0.631,0.8282,0.8282,1.0,1.0
538755,THE MINTON,North East Region,Hougang,OCR,Condominium,19,99-yr,1.35144440313774,103.8818173192641,0.9508,0.8386,1.3589,0.0,1.0
438590,EMERALD OF KATONG,Central Region,Marine Parade,RCR,Condominium,15,99-yr,1.304746729809507,103.8980400997034,1.1463,0.1168,1.1825,0.0,1.0
438597,EMERALD OF KATONG,Central Region,Marine Parade,RCR,Condominium,15,99-yr,1.304746729809507,103.8980400997034,1.1463,0.1168,1.1825,0.0,1.0
425774,E-SPACE,East Region,Bedok,OCR,Apartment,15,Freehold,1.314070214545523,103.9148493699809,0.8033,0.9285,1.189,0.0,1.0
109698,THE INTERLACE,Central Region,Bukit Merah,RCR,Condominium,4,99-yr,1.282217696487238,103.8036620425568,1.1093,0.8337,0.8337,1.0,1.0
579732,BRADDELL VIEW,Central Region,Toa Payoh,RCR,Apartment,20,Other,1.339920483307559,103.8409875324606,0.2948,0.7619,0.7619,1.0,1.0
423679,VITRA,Central Region,Marine Parade,RCR,Apartment,15,Freehold,1.309554934604195,103.9031680969635,1.137,0.3435,0.769,1.0,1.0
357920,EURO-ASIA PARK,Central Region,Toa Payoh,RCR,Condominium,13,Freehold,1.336381475081857,103.8676872093059,0.4963,0.7412,0.7412,1.0,1.0
